title,author,score,year,image
"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #17)",Michael Connelly,4.17,2006,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1168391416i/32501.jpg
"The Phantom of Pine Hill (Nancy Drew Mystery Stories, #42)",Carolyn Keene,3.89,1965,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1459459650i/862011.jpg
Goodbye,Osamu Dazai,3.69,1948,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1428454715i/25317881.jpg
Why Revival Tarries: A Classic on Revival,Leonard Ravenhill,4.52,1959,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348963060i/351036.jpg
The Red One,Jack London,3.47,1918,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1238530188i/6371979.jpg
Drawing Dynamic Hands,Burne Hogarth,4.09,1977,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320507201i/1045908.jpg
Frida Kahlo: 1907-1954 Pain and Passion,Andrea Kettenmann,4.21,1993,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1365526293i/772976.jpg
"Hateship, Friendship, Courtship, Loveship, Marriage: Stories",Alice Munro,4.04,2001,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494106094i/111126.jpg
Young Lonigan,James T. Farrell,3.46,1932,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309210834i/169810.jpg
"Enclave (Razorland, #1)",Ann Aguirre,3.91,2011,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327877657i/7137327.jpg
The Palm-Wine Drinkard & My Life in the Bush of Ghosts,Amos Tutuola,3.86,1952,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348031576i/303496.jpg
Brief Answers to the Big Questions,Stephen Hawking,4.28,2018,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1536862019i/40277241.jpg
"Blue Hat, Green Hat",Sandra Boynton,4.23,1984,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437840712i/252268.jpg
The Haunted Woman,David  Lindsay,3.75,1922,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347714274i/938949.jpg
"The Eye in the Pyramid (Illuminatus, #1)",Robert Shea,3.82,1975,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1326162757i/241879.jpg
"The Dead Girls' Dance (The Morganville Vampires, #2)",Rachel Caine,4.04,2007,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388182865i/261122.jpg
"What the Hex (Hex, #2)",Jessica Clare,3.74,2023,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660753232i/61423835.jpg
Prom Mom,Laura Lippman,3.37,2023,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1671202560i/63241079.jpg
A Long Obedience in the Same Direction: Discipleship in an Instant Society,Eugene H. Peterson,4.27,1980,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388349428i/579014.jpg
Up in the Old Hotel,Joseph Mitchell,4.32,1992,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437793030i/210783.jpg
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,3.87,2013,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1533141634i/41022133.jpg
Lincoln and His Generals,T. Harry Williams,4.18,1952,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387666442i/204344.jpg
Quantum Theory (Dover Books on Physics),David Bohm,4.17,1951,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1395360342i/204525.jpg
Penrod,Booth Tarkington,3.93,1914,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348258706i/601107.jpg
"Cold Days (The Dresden Files, #14)",Jim Butcher,4.48,2012,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661017900i/12216302.jpg
Jewels of Gwahlur,Robert E. Howard,3.77,1935,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325713497i/1502416.jpg
The Sittaford Mystery,Agatha Christie,3.76,1931,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603572517i/16339.jpg
"In Charm's Way (The Witches of Thistle Grove, #4)",Lana Harper,3.55,2023,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1676752054i/63876586.jpg
"Daring to Dream (Dream Trilogy, #1)",Nora Roberts,4.04,1996,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309200789i/230003.jpg
The Draycott Murder Mystery,Molly Thynne,4,1928,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1473106394i/31841894.jpg
"Stay Out of the Basement  (Goosebumps, #2)",R.L. Stine,3.69,1992,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328867797i/125542.jpg
The Last of Cheri,Colette,3.62,1926,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325621192i/837474.jpg
"Foundation and Empire (Foundation, #2)",Isaac Asimov,4.22,1952,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391454612i/29581.jpg
"JoJo's Bizarre Adventure: Part 1—Phantom Blood, Vol. 1 (Jononium, #1)",Hirohiko Araki,4.07,1987,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433360029i/22545983.jpg
The Varieties of Religious Experience,William  James,4.01,1902,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1167956957i/28820.jpg
Selected Essays,Virginia Woolf,4.14,1938,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327996741i/3371792.jpg
Elsie and Her Loved Ones (The Original Elsie Dinsmore Classics #27),Martha Finley,3.64,1903,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347802190i/1968506.jpg
The Spire,William Golding,3.49,1964,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348351714i/1041865.jpg
Brecht on Theatre,Bertolt Brecht,4.18,1964,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1482048096i/196930.jpg
"Lightlark (Lightlark, #1)",Alex Aster,3.8,2022,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1647950042i/60310757.jpg
The Dream Songs,John Berryman,4.19,1969,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311991736i/150236.jpg
Spilled Milk,K.L. Randis,4.42,2013,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384884768i/18858489.jpg
Odd John and Sirius,Olaf Stapledon,3.95,1940,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328865410i/460090.jpg
Don't Forget Me,Rea Frey,4.02,2024,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1682077720i/123726328.jpg
Among the Forest People (Among the People #2),Clara Dillingham Pierson,4.31,1900,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347262648i/223088.jpg
No Surrender,Constance Elizabeth Maud,3.85,1911,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1319482329i/12438237.jpg
The Glass Bees,Ernst Jünger,3.69,1957,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320436419i/602948.jpg
How to Know Higher Worlds: A Modern Path of Initiation (Classics in Anthroposophy),Rudolf Steiner,4.21,1904,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348046220i/850873.jpg
"A Kingdom of Fire and Fate (Stars and Shadows, #4)",Holly Renee,3.72,2023,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1690192437i/123691779.jpg
Papa Married a Mormon,John D. Fitzgerald,4.19,1955,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1175834812i/564854.jpg
Angel Falls,Kristin Hannah,3.88,2000,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388206922i/276342.jpg
"These Broken Stars (Starbound, #1)",Amie Kaufman,3.89,2013,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383578978i/13138635.jpg
"I, Mary MacLane: A Diary of Human Days",Mary MacLane,4.16,1917,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1447442242i/1463707.jpg
A Pin to See the Peepshow,F. Tennyson Jesse,4.04,1934,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1172112034i/139647.jpg
"Planes, Trains, and All the Feels",Livy Hart,3.72,2023,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674589490i/62039347.jpg
Manhattan Transfer,John Dos Passos,3.65,1925,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406085394i/126587.jpg
The Economic Consequences of the Peace,John Maynard Keynes,3.96,1919,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348969802i/368293.jpg
The Surprising Adventures of the Magical Monarch of Mo and His People,L. Frank Baum,3.84,1903,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347790021i/489065.jpg
The Killer,Stewart Edward White,3.22,1919,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1582108240i/12331274.jpg
Yours for the Taking,Gabrielle  Korn,3.68,2023,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1680211580i/65213204.jpg
"Double Fudge (Fudge, #5)",Judy Blume,3.99,2002,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617549811i/80672.jpg
